year	eeacellcode	classkey	class	specieskey	species	occurrences	mincoordinateuncertaintyinmeters	mintemporaluncertainty	classcount
2024	1kmE2650N1951	131	Amphibia	5217334	Xenopus laevis	1	1000.0	60	690
2024	1kmE3416N3160	220	Magnoliopsida	2891774	Impatiens capensis	1	4.0	1	14830
2024	1kmE3435N2883	220	Magnoliopsida	2891774	Impatiens capensis	1	31.0	60	14830
2024	1kmE3435N2884	220	Magnoliopsida	2891774	Impatiens capensis	2	31.0	60	14830
2024	1kmE3437N3363	220	Magnoliopsida	2891774	Impatiens capensis	1	7.0	1	14830
2024	1kmE3441N3269	220	Magnoliopsida	2891774	Impatiens capensis	1	26164.0	1	14830
2024	1kmE3458N3387	220	Magnoliopsida	2891774	Impatiens capensis	1	4.0	1	14830
2024	1kmE3458N3399	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	1	14830
2024	1kmE3460N3368	220	Magnoliopsida	2891774	Impatiens capensis	1	7.1	86400	14830
2024	1kmE3465N3213	220	Magnoliopsida	2891774	Impatiens capensis	1	74.0	1	14830
2024	1kmE3465N3253	220	Magnoliopsida	2891774	Impatiens capensis	1	4.0	1	14830
2024	1kmE3465N3418	220	Magnoliopsida	2891774	Impatiens capensis	1	9.0	1	14830
2024	1kmE3466N3418	220	Magnoliopsida	2891774	Impatiens capensis	1	5.0	1	14830
2024	1kmE3467N3214	220	Magnoliopsida	2891774	Impatiens capensis	1	8.0	1	14830
2024	1kmE3467N3426	220	Magnoliopsida	2891774	Impatiens capensis	1	651.0	1	14830
2024	1kmE3468N3253	220	Magnoliopsida	2891774	Impatiens capensis	1	4.0	1	14830
2024	1kmE3469N3415	220	Magnoliopsida	2891774	Impatiens capensis	3	4.0	1	14830
2024	1kmE3470N3208	220	Magnoliopsida	2891774	Impatiens capensis	1	635.0	1	14830
2024	1kmE3475N3410	220	Magnoliopsida	2891774	Impatiens capensis	1	7.0	86400	14830
2024	1kmE3475N3463	220	Magnoliopsida	2891774	Impatiens capensis	2	4.0	1	14830
2024	1kmE3478N3467	220	Magnoliopsida	2891774	Impatiens capensis	2	106.0	1	14830
2024	1kmE3480N3460	220	Magnoliopsida	2891774	Impatiens capensis	5	9.0	1	14830
2024	1kmE3480N3461	220	Magnoliopsida	2891774	Impatiens capensis	5	15.0	1	14830
2024	1kmE3481N3265	220	Magnoliopsida	2891774	Impatiens capensis	1	20.0	60	14830
2024	1kmE3481N3460	220	Magnoliopsida	2891774	Impatiens capensis	2	15.0	60	14830
2024	1kmE3482N3273	220	Magnoliopsida	2891774	Impatiens capensis	1	22.0	60	14830
2024	1kmE3482N3459	220	Magnoliopsida	2891774	Impatiens capensis	2	15.0	60	14830
2024	1kmE3483N3274	220	Magnoliopsida	2891774	Impatiens capensis	1	9.0	86400	14830
2024	1kmE3483N3459	220	Magnoliopsida	2891774	Impatiens capensis	1	50.0	86400	14830
2024	1kmE3483N3460	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	60	14830
2024	1kmE3484N3390	220	Magnoliopsida	2891774	Impatiens capensis	1	25940.0	1	14830
